[2025-10-01 17:10:14] [INFO    ] discord.client: logging in using static token
[2025-10-01 17:10:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Juru', 'primary_guild': None, 'mfa_enabled': False, 'id': '1422898475057549403', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7630', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'b24630f9a400db0925a45cac9ba0ae52', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1422903339191894130'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['finland', 'stockholm', 'warsaw', 'frankfurt', 'rotterdam'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1422898475057549403', 'flags': 8945664}, '_trace': ['["gateway-prd-arm-us-east1-b-wsht",{"micros":96980,"calls":["id_created",{"micros":683,"calls":[]},"session_lookup_time",{"micros":526,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-142",{"micros":95464,"calls":["start_session",{"micros":75678,"calls":["discord-api-rpc-bc88d7448-7dkw2",{"micros":42037,"calls":["get_user",{"micros":6130},"get_guilds",{"micros":2456},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":9},"pending_payments",{"micros":24531},"apex_experiments",{"micros":3768},"user_activities",{"micros":4},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":36,"calls":[]},"presence_started",{"micros":994,"calls":[]},"guilds_started",{"micros":78,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":18559,"calls":[]},"connect_finished",{"micros":18665,"calls":[]},"build_ready",{"micros":10,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-01 17:10:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:15] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b24630f9a400db0925a45cac9ba0ae52).
[2025-10-01 17:10:15] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-01 17:10:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'joined_at': '2025-10-01T11:11:32.109130+00:00', 'public_updates_channel_id': None, 'verification_level': 0, 'embedded_activities': [], 'safety_alerts_channel_id': None, 'profile': None, 'preferred_locale': 'en-US', 'vanity_url_code': None, 'soundboard_sounds': [], 'default_message_notifications': 0, 'premium_subscription_count': 0, 'nsfw': False, 'home_header': None, 'owner_id': '174892819339542529', 'hub_type': None, 'premium_tier': 0, 'splash': None, 'id': '1422903339191894130', 'max_video_channel_users': 25, 'banner': None, 'discovery_splash': None, 'name': 'Bot-test-server', 'region': 'deprecated', 'mfa_level': 0, 'premium_progress_bar_enabled': False, 'rules_channel_id': None, 'threads': [], 'members': [{'user': {'username': 'Juru', 'public_flags': 0, 'primary_guild': None, 'id': '1422898475057549403', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7630', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1422903757317869641'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:11:32.109130+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'nyxb', 'public_flags': 0, 'primary_guild': None, 'id': '174892819339542529', 'global_name': 'Nyx', 'display_name_styles': None, 'display_name': 'Nyx', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a_f023d07a1328392ee1023831d1d000f9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:09:52.461000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Juru', 'public_flags': 0, 'primary_guild': None, 'id': '1422898475057549403', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7630', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1422903757317869641'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:11:32.109130+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'nyxb', 'public_flags': 0, 'primary_guild': None, 'id': '174892819339542529', 'global_name': 'Nyx', 'display_name_styles': None, 'display_name': 'Nyx', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a_f023d07a1328392ee1023831d1d000f9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:09:52.461000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'nsfw_level': 0, 'application_id': None, 'description': None, 'afk_channel_id': None, 'moderator_reporting': None, 'channels': [{'version': 1759316992533, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1422903339800334398', 'flags': 0}, {'version': 1759316992538, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1422903339800334399', 'flags': 0}, {'version': 1759316992555, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1422903339800334398', 'name': 'general', 'last_message_id': '1422948687151104001', 'id': '1422903339800334400', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1759316992562, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1422903339800334399', 'name': 'General', 'last_message_id': None, 'id': '1422903339800334401', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1759317022108, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1422903339800334399', 'nsfw': False, 'name': 'general-2', 'last_message_id': None, 'id': '1422903463855259669', 'flags': 0, 'bitrate': 64000}], 'stickers': [], 'max_members': 25000000, 'guild_scheduled_events': [], 'icon': None, 'large': False, 'premium_features': None, 'application_command_counts': {}, 'owner_configured_content_level': 0, 'features': [], 'afk_timeout': 300, 'system_channel_id': '1422903339800334400', 'roles': [{'version': 1759316992531, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1422903339191894130', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759317092092, 'unicode_emoji': None, 'tags': {'bot_id': '1422898475057549403'}, 'position': 1, 'permissions': '326454602816', 'name': 'Juru-test-bot', 'mentionable': False, 'managed': True, 'id': '1422903757317869641', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'unavailable': False, 'max_stage_video_channel_users': 50, 'system_channel_flags': 0, 'stage_instances': [], 'explicit_content_filter': 0, 'incidents_data': None, 'lazy': True, 'activity_instances': [], 'emojis': [], 'inventory_settings': None, 'presences': [], 'member_count': 2, 'voice_states': [{'user_id': '174892819339542529', 'suppress': False, 'session_id': '85bb780c759cd1c27a3570b1b32e17ea', 'self_video': False, 'self_mute': True, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1422903339800334401'}, {'user_id': '1422898475057549403', 'suppress': False, 'session_id': '76d99d44ebd9a0efbe13a38f6d0b7254', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1422903339800334401'}], 'version': 1759317005545, 'latest_onboarding_question_id': None}}
[2025-10-01 17:10:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:15] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-01 17:10:17] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-01 17:10:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 3, 'op': 0, 'd': {'user_id': '174892819339542529', 'timestamp': 1759327825, 'member': {'user': {'username': 'nyxb', 'public_flags': 0, 'primary_guild': None, 'id': '174892819339542529', 'global_name': 'Nyx', 'display_name_styles': None, 'display_name': 'Nyx', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'a_f023d07a1328392ee1023831d1d000f9'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:09:52.461000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1422903339800334400', 'guild_id': '1422903339191894130'}}
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-01 17:10:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-01T14:10:25.995000+00:00', 'pinned': False, 'nonce': '1422948779048304640', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:09:52.461000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1422948778880794806', 'flags': 1024, 'embeds': [{'video': {'width': 1280, 'url': 'https://www.youtube.com/embed/vQ9irOV-U34', 'placeholder_version': 1, 'placeholder': 'TFkKHISfNmWcaWZ7dmavmUlwZw==', 'height': 720, 'flags': 0}, 'url': 'https://www.youtube.com/watch?v=vQ9irOV-U34', 'type': 'video', 'title': 'BLOODLUST', 'thumbnail': {'width': 1280, 'url': 'https://i.ytimg.com/vi/vQ9irOV-U34/maxresdefault.jpg', 'proxy_url': 'https://images-ext-1.discordapp.net/external/gOzzCox6CCXB5tZFvRjAtD0r2fQqb0FWm7rEzvFabr4/https/i.ytimg.com/vi/vQ9irOV-U34/maxresdefault.jpg', 'placeholder_version': 1, 'placeholder': 'TFkKHISfNmWcaWZ7dmavmUlwZw==', 'height': 720, 'flags': 0, 'content_type': 'image/jpeg'}, 'provider': {'url': 'https://www.youtube.com', 'name': 'YouTube'}, 'id': '1422948778880794807', 'description': 'Join my discord: https://discord.gg/w48bvZEuHX\n-------------------|\n\nSpotify: https://open.spotify.com/artist/4m6gJ1ZMwIiUUveRuKg65h?si=hxmAc9hoRIWwnLAxl9bDpg\n\n🌐 Follow me on social media for more updates and insights:\n\nLore: https://www.worldanvil.com/w/the-shatterplanes\n\nInstagram: https://www.instagram.com/dysmn.exe/\nTiktok: https://www.ti...', 'color': 16711680, 'author': {'url': 'https://www.youtube.com/channel/UCBdxXQRUwjfiL0SfVyhkauw', 'name': 'Dysmn'}}], 'edited_timestamp': None, 'content': '!play https://www.youtube.com/watch?v=vQ9irOV-U34', 'components': [], 'channel_type': 0, 'channel_id': '1422903339800334400', 'author': {'username': 'nyxb', 'public_flags': 0, 'primary_guild': None, 'id': '174892819339542529', 'global_name': 'Nyx', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'a_f023d07a1328392ee1023831d1d000f9'}, 'attachments': [], 'guild_id': '1422903339191894130'}}
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event message
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event command
[2025-10-01 17:10:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-01T14:10:26.311000+00:00', 'pinned': False, 'nonce': '1384082278124377388', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1422903757317869641'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:11:32.109130+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1422948780206063666', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': "I'm not connected to a voice channel.", 'components': [], 'channel_type': 0, 'channel_id': '1422903339800334400', 'author': {'username': 'Juru', 'public_flags': 0, 'primary_guild': None, 'id': '1422898475057549403', 'global_name': None, 'display_name_styles': None, 'discriminator': '7630', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1422903339191894130'}}
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event message
[2025-10-01 17:10:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1422903339800334400/messages with {"content":"I'm not connected to a voice channel.","components":[],"nonce":"1384082278124377388","enforce_nonce":true,"tts":false} has returned 200
[2025-10-01 17:10:26] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-01 17:10:26] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1422903339800334400/messages has received {'type': 0, 'content': "I'm not connected to a voice channel.", 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-01T14:10:26.311000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1422948780206063666', 'channel_id': '1422903339800334400', 'author': {'id': '1422898475057549403', 'username': 'Juru', 'avatar': None, 'discriminator': '7630', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '1384082278124377388'}
[2025-10-01 17:10:26] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-01 17:10:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-01T14:10:28.504000+00:00', 'pinned': False, 'nonce': '1422948790343565312', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:09:52.461000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1422948789404303462', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!join', 'components': [], 'channel_type': 0, 'channel_id': '1422903339800334400', 'author': {'username': 'nyxb', 'public_flags': 0, 'primary_guild': None, 'id': '174892819339542529', 'global_name': 'Nyx', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'a_f023d07a1328392ee1023831d1d000f9'}, 'attachments': [], 'guild_id': '1422903339191894130'}}
[2025-10-01 17:10:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:28] [DEBUG   ] discord.client: Dispatching event message
[2025-10-01 17:10:28] [DEBUG   ] discord.client: Dispatching event command
[2025-10-01 17:10:28] [INFO    ] discord.voice_state: Connecting to voice...
[2025-10-01 17:10:28] [INFO    ] discord.voice_state: Starting voice handshake... (connection attempt 1)
[2025-10-01 17:10:28] [DEBUG   ] discord.gateway: Updating our voice state to {'op': 4, 'd': {'guild_id': 1422903339191894130, 'channel_id': 1422903339800334401, 'self_mute': False, 'self_deaf': False}}.
[2025-10-01 17:10:28] [DEBUG   ] discord.voice_state: Connection state changed to set_guild_voice_state
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 7, 'op': 0, 'd': {'member': {'user': {'username': 'Juru', 'public_flags': 0, 'primary_guild': None, 'id': '1422898475057549403', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7630', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1422903757317869641'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:11:32.109130+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1422898475057549403', 'suppress': False, 'session_id': 'b24630f9a400db0925a45cac9ba0ae52', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1422903339191894130', 'deaf': False, 'channel_id': '1422903339800334401'}}
[2025-10-01 17:10:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:29] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2025-10-01 17:10:29] [DEBUG   ] discord.voice_state: Connection state changed to got_voice_state_update
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_SERVER_UPDATE', 's': 8, 'op': 0, 'd': {'token': '1608caee2e4a286a', 'guild_id': '1422903339191894130', 'endpoint': 'finland10085.discord.media:443'}}
[2025-10-01 17:10:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:29] [DEBUG   ] discord.voice_state: Connection state changed to got_both_voice_updates
[2025-10-01 17:10:29] [INFO    ] discord.voice_state: Voice handshake complete. Endpoint found: finland10085.discord.media:443
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 0, 'd': {'server_id': '1422903339191894130', 'user_id': '1422898475057549403', 'session_id': 'b24630f9a400db0925a45cac9ba0ae52', 'token': '1608caee2e4a286a'}}.
[2025-10-01 17:10:29] [DEBUG   ] discord.voice_state: Connection state changed to websocket_connected
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 8, 'd': {'v': 8, 'heartbeat_interval': 13750}}
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 2, 'd': {'streams': [{'type': 'video', 'ssrc': 220572, 'rtx_ssrc': 220573, 'rid': '', 'quality': 0, 'active': False}], 'ssrc': 220571, 'port': 50007, 'modes': ['aead_aes256_gcm_rtpsize', 'aead_aes256_gcm', 'aead_xchacha20_poly1305_rtpsize', 'xsalsa20_poly1305_lite_rtpsize', 'xsalsa20_poly1305_lite', 'xsalsa20_poly1305_suffix', 'xsalsa20_poly1305'], 'ip': '35.217.24.53', 'experiments': ['fixed_keyframe_interval']}}
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Connecting to voice socket
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Sending ip discovery packet
[2025-10-01 17:10:29] [DEBUG   ] discord.voice_state: Registering socket listener callback <function DiscordVoiceWebSocket.discover_ip.<locals>.get_ip_packet at 0x000001F72B743C40>
[2025-10-01 17:10:29] [DEBUG   ] discord.voice_state: Unregistering socket listener callback <function DiscordVoiceWebSocket.discover_ip.<locals>.get_ip_packet at 0x000001F72B743C40>
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Received ip discovery packet: b'\x00\x02\x00F\x00\x03]\x9b176.72.89.151\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x1d\x88'
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: detected ip: 176.72.89.151 port: 7560
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: received supported encryption modes: aead_xchacha20_poly1305_rtpsize, xsalsa20_poly1305_lite, xsalsa20_poly1305_suffix, xsalsa20_poly1305
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 1, 'd': {'protocol': 'udp', 'data': {'address': '176.72.89.151', 'port': 7560, 'mode': 'aead_xchacha20_poly1305_rtpsize'}}}.
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: selected the voice protocol for use (aead_xchacha20_poly1305_rtpsize)
[2025-10-01 17:10:29] [DEBUG   ] discord.voice_state: Connection state changed to got_ip_discovery
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Voice websocket frame received: {'seq': 0, 'op': 11, 'd': {'user_ids': ['174892819339542529']}}
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Voice websocket frame received: {'seq': 1, 'op': 18, 'd': {'user_id': '174892819339542529', 'flags': 2}}
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Voice websocket frame received: {'seq': 2, 'op': 20, 'd': {'user_id': '174892819339542529', 'platform': 0}}
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Voice websocket frame received: {'op': 4, 'd': {'video_codec': 'H264', 'secure_frames_version': 0, 'secret_key': [194, 170, 123, 147, 58, 79, 60, 138, 156, 133, 103, 30, 37, 17, 128, 185, 115, 95, 21, 157, 98, 164, 31, 179, 179, 239, 40, 46, 227, 146, 185, 157], 'mode': 'aead_xchacha20_poly1305_rtpsize', 'media_session_id': '5d5be736b4850c7300a233cf0fcabdf8', 'dave_protocol_version': 0, 'audio_codec': 'opus'}}
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: received secret key for voice connection
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Sending voice websocket frame: {'op': 5, 'd': {'speaking': 0, 'delay': 0, 'ssrc': 220571}}.
[2025-10-01 17:10:29] [DEBUG   ] discord.voice_state: Connection state changed to connected
[2025-10-01 17:10:29] [INFO    ] discord.voice_state: Voice connection complete.
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: Voice websocket frame received: {'seq': 3, 'op': 15, 'd': {'any': 100}}
[2025-10-01 17:10:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-01T14:10:29.382000+00:00', 'pinned': False, 'nonce': '13054372831338892567', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1422903757317869641'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-01T11:11:32.109130+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1422948793086775339', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Joined the voice channel!', 'components': [], 'channel_type': 0, 'channel_id': '1422903339800334400', 'author': {'username': 'Juru', 'public_flags': 0, 'primary_guild': None, 'id': '1422898475057549403', 'global_name': None, 'display_name_styles': None, 'discriminator': '7630', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1422903339191894130'}}
[2025-10-01 17:10:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-01 17:10:29] [DEBUG   ] discord.client: Dispatching event message
[2025-10-01 17:10:29] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1422903339800334400/messages with {"content":"Joined the voice channel!","components":[],"nonce":"13054372831338892567","enforce_nonce":true,"tts":false} has returned 200
